gene_id,gene_symbol,baseMean_primary,log2FoldChange_primary,lfcSE_primary,stat_primary,pvalue_primary,padj_primary,regulation_direction_primary,baseMean_strict,log2FoldChange_strict,lfcSE_strict,stat_strict,pvalue_strict,padj_strict,regulation_direction_strict,direction_agreement,significant_primary,significant_strict
ENSG00000124614.16,RPS10,18.260697629666844,3.79151563254222,0.3997013026439507,9.485872594014682,2.4036352269415064e-21,1.0720508036726842e-19,upregulated,14.843021337066874,3.5249043265399904,0.5031304770184895,7.005944754983417,2.4532470909093548e-12,9.530339200073166e-11,upregulated,True,True,True
ENSG00000182774.13,RPS17,68.28531471423204,2.6774472050696803,0.283212846459584,9.453833886916447,3.266423964717221e-21,1.4421195682283926e-19,upregulated,65.10564914468179,2.831840569959582,0.38459757805089845,7.3631263730548255,1.7965214725954293e-13,8.196246747600218e-12,upregulated,True,True,True
ENSG00000178982.10,EIF3K,94.84735659889768,-2.269866339717014,0.2561174659253412,-8.862598774808607,7.817050105690054e-19,2.7767078632752456e-17,downregulated,72.9907662053302,-2.160902946965725,0.35722232397859977,-6.049182265258369,1.455828813181258e-09,3.5042677889552973e-08,downregulated,True,True,True
ENSG00000084623.12,EIF3I,160.7761913098953,-2.246011246805568,0.2606248988016002,-8.617792302781234,6.8257347574834136e-18,2.1701060504477152e-16,downregulated,129.37404746907814,-2.173985071314421,0.37194327560662743,-5.8449371554539375,5.067595438143375e-09,1.0985258041690916e-07,downregulated,True,True,True
ENSG00000128829.12,EIF2AK4,124.76130343252868,-1.641752124053751,0.198779901197372,-8.259145487871164,1.4671900979313696e-16,3.984983317046472e-15,downregulated,109.01089717385666,-1.6088484842625472,0.2574104302627089,-6.250129346431622,4.1011289951448395e-10,1.1080730516997247e-08,downregulated,True,True,True
ENSG00000251474.7,RPL32P3,59.146114267343705,1.5556581007814874,0.1919140762601086,8.106013540523435,5.230761843883208e-16,1.3374316039284028e-14,upregulated,52.317500593128734,1.4642633706765078,0.28909258497159535,5.06503261168175,4.083304417279338e-07,5.391974727352455e-06,upregulated,True,True,True
ENSG00000063046.18,EIF4B,575.4764267035536,-2.0729162729545703,0.2742110098357153,-7.559566168391603,4.044159247500803e-14,8.344665391484628e-13,downregulated,461.83423612310963,-1.9991737821340945,0.3754747165089567,-5.324389883616585,1.0129244021107645e-07,1.604167691214438e-06,downregulated,True,True,True
ENSG00000100129.18,EIF3L,152.62138130187498,-2.229925088818498,0.3180995537828833,-7.010148434035586,2.3806542171753698e-12,3.817799152690796e-11,downregulated,127.19154039449914,-2.337112811037723,0.4583101843917579,-5.09941277900992,3.4070882131224593e-07,4.616062939614107e-06,downregulated,True,True,True
ENSG00000109606.13,DHX15,545.3155060624982,0.7642139391541203,0.1151021973716811,6.639438313122435,3.1488074607354966e-11,4.286859595420798e-10,upregulated,487.46531339910695,0.751908477040268,0.19870055684909135,3.7841286857153893,0.0001542480033285267,0.000892686515559631,upregulated,True,True,True
ENSG00000071242.12,RPS6KA2,55.77245142622675,-1.9362830389745904,0.2932259104678743,-6.603383159029285,4.018790589079708e-11,5.351027029781954e-10,downregulated,46.22904400131912,-1.9088147356587497,0.39930006957321645,-4.780401710670741,1.7494527399146274e-06,1.9172406970274214e-05,downregulated,True,True,True
ENSG00000116251.11,RPL22,94.13907785834436,-1.9316100662101736,0.2930489175212205,-6.591425358431157,4.3562382357321495e-11,5.765142956390664e-10,downregulated,77.85510929842728,-1.9484142358277106,0.42629772538047994,-4.570548046177607,4.8645037431296014e-06,4.644306332902006e-05,downregulated,True,True,True
ENSG00000005100.13,DHX33,76.7956627608616,-1.260003285741127,0.1931847063048432,-6.522272439894162,6.925008066460456e-11,8.889607176545174e-10,downregulated,66.944273641116,-1.2893279183153603,0.28659621148416925,-4.498761207060055,6.835057915448064e-06,6.182545633022994e-05,downregulated,True,True,True
ENSG00000108406.10,DHX40,88.93634505838776,-1.3821128957947115,0.2156151234416361,-6.410092547004612,1.4543132722837348e-10,1.7700096243587194e-09,downregulated,75.52519076570373,-1.453948160169882,0.35043700166560743,-4.148957311183888,3.3399308074968446e-05,0.00024245854654035358,downregulated,True,True,True
ENSG00000175376.9,EIF1AD,87.8176006172651,1.774602850976282,0.282298188018868,6.2862707813685015,3.2518255840796315e-10,3.732753473093515e-09,upregulated,83.8810162032197,1.7691898302273426,0.38385126848364154,4.609050367910245,4.045123365393836e-06,3.954645892831064e-05,upregulated,True,True,True
