gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003.15,TSPAN6,3.398014320632835,1.3096360770530666,1.0086997818178352,1.2983407954078239,0.19417025376294894,0.30082512007841494
ENSG00000000419.14,DPM1,116.68766644251359,0.7113485458949738,0.24833219611314963,2.8645039065770437,0.004176630028500513,0.013512075511458442
ENSG00000000457.14,SCYL3,53.90694169839249,1.2955698421557131,0.31527926886435303,4.109276981079033,3.968998043128885e-05,0.00028181839375773207
ENSG00000000460.17,C1orf112,82.72690177102125,1.149602694083743,0.2800653498561829,4.104765886512125,4.04724538504219e-05,0.0002864015328610261
ENSG00000000971.16,CFH,9.65790516202164,6.806207191716797,1.2427519197506005,5.476722331744769,4.332762898881719e-08,7.465335477877679e-07
ENSG00000001036.14,FUCA2,5.1579386741684505,1.4138077635751893,0.9124323142449353,1.5494933065201193,0.12126317932467852,0.20769143912285776
ENSG00000001084.13,GCLC,104.73631597099934,0.32519986064727047,0.22120318952788304,1.4701409203969842,0.1415235916023677,0.23522175334228743
ENSG00000001167.15,NFYA,29.115391476356592,-0.8142196661976275,0.5045108446638392,-1.6138794137124062,0.10655358476990585,0.18734048457763755
ENSG00000001460.18,STPG1,23.340034004549945,-0.8553686134945098,0.45041707653019564,-1.8990590234363962,0.05755671595484054,0.11530405778517255
ENSG00000001461.17,NIPAL3,41.25977648823949,-1.9424182004679358,0.33866695499440064,-5.735481929437286,9.72354595650486e-09,1.9708619336110196e-07
ENSG00000001497.18,LAS1L,94.47963969191959,-0.96386818232896,0.47170828134024567,-2.043356499042926,0.04101716040134588,0.08800924301243124
ENSG00000001561.7,ENPP4,37.13130282474079,1.6579452364176364,0.5235550862287486,3.1667063887394966,0.0015417589776651978,0.0060594262398239625
ENSG00000001617.12,SEMA3F,11.341322843310904,-1.1229131414263918,0.5833240088693394,-1.925024727857407,0.05422626474438464,0.10981711742325914
ENSG00000001626.17,CFTR,4.360241534371956,1.8535896213651597,0.9401324633300409,1.9716260140614277,0.04865231525908328,0.10080437164895806
ENSG00000001629.10,ANKIB1,59.694495901406604,-0.4983038484647038,0.2808139593119255,-1.7744981399275548,0.0759807894935053,0.14349035993480894
ENSG00000001630.18,CYP51A1,11.460164695846595,0.1963070769411257,0.5719232369072071,0.34324025371428635,0.7314177239674032,0.809420074487298
ENSG00000001631.17,KRIT1,23.181824697780318,1.3400888968716966,0.4505710337839388,2.974201172271332,0.0029375241969044385,0.010213520529604139
ENSG00000002016.18,RAD52,23.695143540238096,1.133096624415047,0.6186456301941736,1.8315762192636893,0.06701458249431731,0.12981306160650247
