gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id_base,significant,direction
ENSG00000132507.18,EIF5A,17281.78800752311,1.3213887470443768,0.06710957418924936,19.69001834698062,2.62594454434244e-86,2.9515051959152175e-84,ENSG00000132507,True,up
ENSG00000165732.13,DDX21,10990.262799385855,1.3968904916090545,0.07234199034986645,19.309539105204248,4.465394995722625e-83,4.553831599052546e-81,ENSG00000165732,True,up
ENSG00000173674.11,EIF1AX,5825.3199744334415,1.1522510920697306,0.07206572270726068,15.988892482911858,1.5272200580441406e-57,9.227763737997341e-56,ENSG00000173674,True,up
ENSG00000110321.19,EIF4G2,41295.32505466625,1.0448021897173863,0.06747551496906729,15.484167704334729,4.4376840556873876e-54,2.4286445777015846e-52,ENSG00000110321,True,up
ENSG00000187840.5,EIF4EBP1,5338.478564059381,1.1312887661118693,0.07494416334022279,15.095088338983468,1.7445410384547747e-51,8.809510857472348e-50,ENSG00000187840,True,up
ENSG00000125977.7,EIF2S2,7237.4002433338355,0.8934862721371184,0.06535354961851587,13.671579850713682,1.5010054176357405e-42,5.715850502931292e-41,ENSG00000125977,True,up
ENSG00000114867.22,EIF4G1,21695.76728198741,1.1265387236874305,0.08360971802418438,13.473777334849705,2.231512870527234e-41,8.256992578980947e-40,ENSG00000114867,True,up
ENSG00000242372.9,EIF6,3417.950224552275,0.9399679173902318,0.07688219091839209,12.226081309102867,2.2556013529800326e-34,6.338118532983946e-33,ENSG00000242372,True,up
ENSG00000151247.13,EIF4E,2173.8266183622814,1.1045002975529197,0.09372604983669724,11.784347035614282,4.700487759491083e-32,1.1925776347077742e-30,ENSG00000151247,True,up
ENSG00000158417.11,EIF5B,7266.419982810224,0.8249948451270954,0.07148556391391601,11.540719551720493,8.223441819000332e-31,1.9806368049311168e-29,ENSG00000158417,True,up
ENSG00000135829.17,DHX9,9299.682458184448,0.747391359042762,0.06506576528962482,11.486706653121294,1.5386658385070245e-30,3.65538045679862e-29,ENSG00000135829,True,up
ENSG00000134001.15,EIF2S1,3489.9410098107196,1.0367360017678517,0.09130529024626732,11.354610439018181,7.035277156658172e-30,1.619818328602376e-28,ENSG00000134001,True,up
ENSG00000146223.16,RPL7L1,6879.96201723026,0.7704562757408516,0.06968690058128478,11.05596990702965,2.051077678432032e-28,4.420601025288667e-27,ENSG00000146223,True,up
ENSG00000123136.15,DDX39A,4174.77565956754,0.7910800922135749,0.07381019457934329,10.717761912457668,8.401161156749875e-27,1.6647836506446717e-25,ENSG00000123136,True,up
ENSG00000106263.18,EIF3B,10978.902647693103,0.8249236678192462,0.07701215295111402,10.711603769120616,8.979261299931286e-27,1.7692783858281191e-25,ENSG00000106263,True,up
ENSG00000109606.13,DHX15,7503.194439807875,0.7043737216176243,0.06747913785014666,10.438392428514014,1.6559106166963141e-25,3.060872444973753e-24,ENSG00000109606,True,up
ENSG00000163584.18,RPL22L1,1861.862881778308,0.8480286600817378,0.08153080517743695,10.401328163461134,2.4450117520079967e-25,4.444818755432972e-24,ENSG00000163584,True,up
ENSG00000070785.17,EIF2B3,714.8579673528401,1.0789104437097856,0.10498498484045506,10.276807158179794,8.96483255964298e-25,1.5657375897401517e-23,ENSG00000070785,True,up
ENSG00000104131.13,EIF3J,2877.4014870371316,0.8328319417084794,0.08758306808022319,9.50905192023683,1.9240806099090763e-21,2.791866802139318e-20,ENSG00000104131,True,up
ENSG00000187051.9,RPS19BP1,2394.028869120389,0.7262881852870207,0.07734349757730724,9.390423345686857,5.975957487168935e-21,8.301220413737792e-20,ENSG00000187051,True,up
ENSG00000136271.11,DDX56,3129.742664318042,0.7199829580114668,0.07766083678807748,9.270862738398911,1.8464626856858682e-20,2.47926454122985e-19,ENSG00000136271,True,up
ENSG00000088205.13,DDX18,4594.763003311061,0.7885983741106563,0.08534296882910246,9.240343814260882,2.4570644183148294e-20,3.263493566028578e-19,ENSG00000088205,True,up
ENSG00000141543.12,EIF4A3,4344.3158754270835,0.648011878015901,0.07024537537301487,9.224975659605317,2.836253111372046e-20,3.736276467948582e-19,ENSG00000141543,True,up
ENSG00000071242.12,RPS6KA2,374.86197024974496,1.1481434264565291,0.12987505610199007,8.840369050966178,9.540294477846782e-19,1.1325916885511914e-17,ENSG00000071242,True,up
ENSG00000106682.16,EIF4H,15730.040686762675,0.5515409638325836,0.06263636575465145,8.805443246707291,1.3033647214992966e-18,1.5333788895703034e-17,ENSG00000106682,True,up
ENSG00000079785.16,DDX1,3451.6309588117733,0.6145676408645628,0.07189649397363365,8.547950072362932,1.2529389255795143e-17,1.3888622045686812e-16,ENSG00000079785,True,up
ENSG00000178105.11,DDX10,1017.2206195086816,0.7773743260585211,0.09579451785708348,8.11501893269395,4.857090841769903e-16,4.846889791791962e-15,ENSG00000178105,True,up
ENSG00000136643.12,RPS6KC1,1650.5299566018896,0.6428927685070118,0.08196078270794106,7.843907137855124,4.367401216931062e-15,4.076111153623249e-14,ENSG00000136643,True,up
ENSG00000117676.14,RPS6KA1,14739.813984088783,0.5908201178148759,0.07679624248851515,7.693346688195492,1.4333543438450595e-14,1.2899572067337414e-13,ENSG00000117676,True,up
ENSG00000197728.11,RPS26,5661.364020164499,0.5839899395177868,0.07683382847107594,7.600687758747172,2.945610486179293e-14,2.5972557074679164e-13,ENSG00000197728,True,up
