gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation_direction
ENSG00000187840.5,EIF4EBP1,125.15219736994634,-4.4135379447419165,0.7680727076506764,-5.746250193216365,9.124426752722502e-09,7.918971248582481e-08,downregulated
ENSG00000214485.6,RPL7P1,4.589681403075968,-4.3437744627570005,1.2317321879257466,-3.5265575628676022,0.0004209996377374,0.0013332368373825,downregulated
ENSG00000253626.4,EIF5AL1,6.0924774700493,-3.216578442919523,0.8064363661264503,-3.988632678322395,6.645523077428881e-05,0.0002607752038839,downregulated
ENSG00000242071.3,RPL7AP6,10.511073614944022,-3.182873981662328,0.6139615134404853,-5.184158798205943,2.1699199537990793e-07,1.4688378085772167e-06,downregulated
ENSG00000220842.6,RPL21P16,3.2108472404949326,-3.150015600908279,1.1498832183363437,-2.7394221871206508,0.0061547282075501,0.0143674004288418,downregulated
ENSG00000148303.17,RPL7A,712.4028261195897,-2.8708626321729707,0.476967197254737,-6.018993860996504,1.7550452510492155e-09,1.751832353564457e-08,downregulated
ENSG00000233762.3,RPS15P4,7.750605459545822,-2.8660672839353314,0.6760744050167597,-4.239277899988363,2.242399253367903e-05,9.844349379217786e-05,downregulated
ENSG00000139239.7,RPL14P1,6.877363973604331,-2.6858922942303,0.6668370836381075,-4.027808830871701,5.6299090194592325e-05,0.0002248046790816,downregulated
ENSG00000225031.1,EIF4BP7,6.943527776282319,-2.4658371069664375,0.689930101848836,-3.57403902273379,0.0003515165072373,0.0011376428287352,downregulated
ENSG00000147403.18,RPL10,1123.427782689725,-2.4499401794467626,0.5352822076283316,-4.57691315820431,4.718872331445073e-06,2.4227543679100055e-05,downregulated
